Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2020,11/18/2020, Drafted by the Sacramento Kings in the 2nd round (43rd pick) of the 2020 NBA Draft.,Jahmi'us Ramsey,Drafted,acramento Kings in the 2nd rou,acramento Kings in the 2nd rou
2020,11/18/2020, Drafted by the New Orleans Pelicans in the 2nd round (42nd pick) of the 2020 NBA Draft.,Nick Richards,Drafted,ew Orleans Pelicans in the 2nd,ew Orleans Pelicans in the 2nd
2020,11/18/2020, Drafted by the Boston Celtics in the 1st round (30th pick) of the 2020 NBA Draft.,Desmond Bane,Drafted,oston Celtics in the 1st round,oston Celtics in the 1st round
2020,11/18/2020, Drafted by the Philadelphia 76ers in the 1st round (21st pick) of the 2020 NBA Draft.,Tyrese Maxey,Drafted,hiladelphia 76ers in the 1st r,hiladelphia 76ers in the 1st r
2020,11/18/2020, Drafted by the Los Angeles Clippers in the 2nd round (57th pick) of the 2020 NBA Draft.,Reggie Perry,Drafted,os Angeles Clippers in the 2nd,os Angeles Clippers in the 2nd
2020,11/18/2020, Drafted by the Sacramento Kings in the 2nd round (52nd pick) of the 2020 NBA Draft.,Kenyon Martin Jr.,Drafted,acramento Kings in the 2nd rou,acramento Kings in the 2nd rou
2020,11/18/2020, Drafted by the Minnesota Timberwolves in the 1st round (17th pick) of the 2020 NBA Draft.,Aleksej Pokusevski,Drafted,innesota Timberwolves in the 1,innesota Timberwolves in the 1
2020,11/18/2020, Drafted by the Detroit Pistons in the 1st round (7th pick) of the 2020 NBA Draft.,Killian Hayes,Drafted,etroit Pistons in the 1st roun,etroit Pistons in the 1st roun
2020,11/18/2020, Drafted by the New Orleans Pelicans in the 1st round (13th pick) of the 2020 NBA Draft.,Kira Lewis Jr.,Drafted,ew Orleans Pelicans in the 1st,ew Orleans Pelicans in the 1st
2020,11/18/2020, Traded by the Utah Jazz with Tony Bradley to the Detroit Pistons for cash.,Saben Lee,Traded,no,no
2020,11/18/2020, Drafted by the Brooklyn Nets in the 2nd round (55th pick) of the 2020 NBA Draft.,Jay Scrubb,Drafted,rooklyn Nets in the 2nd round ,rooklyn Nets in the 2nd round 
2020,11/18/2020, Drafted by the Utah Jazz in the 1st round (27th pick) of the 2020 NBA Draft.,Udoka Azubuike,Drafted,tah Jazz in the 1st round (27t,tah Jazz in the 1st round (27t
2021,11/18/2021, Assigned to the Grand Rapids Gold of the G-League.,Vlatko Čančar,Assigned,no,no
2013,11/19/2013, Assigned to the of the G-League.,Dewayne Dedmon,Assigned,no,no
2014,11/19/2014, Signed a contract with the Memphis Grizzlies,Kalin Lucas,Signed,Memphis Grizzlies,Memphis Grizzlies
2014,11/19/2014, Signed a contract with the Memphis Grizzlies,Hassan Whiteside,Signed,Memphis Grizzlies,Memphis Grizzlies
2015,11/19/2015, Waived by the New Orleans Pelicans.,Jimmer Fredette,Waived,no,no
2017,11/19/2017, Recalled from the South Bay Lakers of the G-League.,Josh Hart,Recalled,no,no
2019,11/19/2019, Signed a contract with the Portland Trail Blazers,Carmelo Anthony,Signed,Portland Trail Blazers,Portland Trail Blazers
2020,11/19/2020," As part of a 3-team trade, traded by the Brooklyn Nets with Jaylen Hands, Dzanan Musa and a 2021 2nd round draft pick (JT Thor was later selected) to the Detroit Pistons",Saddiq Bey,As,no,no
2020,11/19/2020, Waived by the Philadelphia 76ers.,Norvel Pelle,Waived,no,no
2020,11/19/2020," Traded by the Boston Celtics with cash to the Oklahoma City Thunder for a 2022 2nd round draft pick. (2021 2nd-rd pick (OKC own) is top 55 protected, Boston also received a trade exception from Oklahoma City. Did not convey 2021.)",Vincent Poirier,Traded,no,no
2020,11/19/2020, Traded by the Minnesota Timberwolves to the Los Angeles Clippers for Mathias Lessort and a 2023 2nd round draft pick. 2023 2nd-rd pick is DET's own.,Daniel Oturu,Traded,no,no
2020,11/19/2020, Waived by the Milwaukee Bucks.,Ersan İlyasova,Waived,no,no
2020,11/19/2020, Signed an Exhibit 10 contract with the Los Angeles Lakers.,Zavier Simpson,Signed,Los Angeles Lakers.,Los Angeles Lakers
2020,11/19/2020, Signed a two-way contract with the Philadelphia 76ers,Dakota Mathias,Signed,Philadelphia 76ers,Philadelphia 76ers
2020,11/19/2020," As part of a 3-team trade, traded by the Los Angeles Clippers with Reggie Perry to the Brooklyn Nets",Landry Shamet,As,no,no
2020,11/19/2020," As part of a 3-team trade, traded by the Los Angeles Clippers with Landry Shamet to the Brooklyn Nets",Reggie Perry,As,no,no
2020,11/19/2020, Signed a two-way contract with the Detroit Pistons,Saben Lee,Signed,Detroit Pistons,Detroit Pistons
2020,11/19/2020," Traded by the Washington Wizards with Admiral Schofield to the Oklahoma City Thunder for Cassius Winston and a 2024 2nd round draft pick. 2024 2nd-rd pick is MEM own, Washington also received a trade exception from Oklahoma City.",Vit Krejci,Traded,no,no
2020,11/19/2020, Traded by the New Orleans Pelicans to the Charlotte Hornets for a 2024 2nd round draft pick. 2024 2nd -rd pick is CHO's own,Nick Richards,Traded,no,no
2020,11/19/2020," As part of a 3-team trade, traded by the Los Angeles Clippers with cash to the Detroit Pistons",Rodney McGruder,As,no,no
2020,11/19/2020, Waived by the New York Knicks.,Elfrid Payton,Waived,no,no
2020,11/19/2020," As part of a 3-team trade, traded by the Brooklyn Nets with Saddiq Bey, Jaylen Hands and a 2021 2nd round draft pick (JT Thor was later selected) to the Detroit Pistons",Džanan Musa,As,no,no
2020,11/19/2020," As part of a 3-team trade, traded by the Detroit Pistons with Luke Kennard, a 2023 2nd round draft pick, a 2024 2nd round draft pick, a 2025 2nd round draft pick and a 2026 2nd round draft pick to the Los Angeles Clippers",Justin Patton,As,no,no
2020,11/19/2020, Signed a two-way contract with the Charlotte Hornets,Nate Darling,Signed,Charlotte Hornets,Charlotte Hornets
2020,11/19/2020, Signed an Exhibit 10 contract with the Oklahoma City Thunder.,Josh Hall,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2020,11/19/2020," As part of a 3-team trade, traded by the Brooklyn Nets to the Los Angeles Clippers",Jay Scrubb,As,no,no
2020,11/19/2020, Signed a two-way contract with the Memphis Grizzlies,Sean McDermott,Signed,Memphis Grizzlies,Memphis Grizzlies
2020,11/19/2020, Signed a two-way contract with the Denver Nuggets,Markus Howard,Signed,Denver Nuggets,Denver Nuggets
2020,11/19/2020, Signed a two-way contract with the Minnesota Timberwolves,Ashton Hagans,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2020,11/19/2020," As part of a 3-team trade, traded by the Detroit Pistons with Justin Patton, a 2023 2nd round draft pick, a 2024 2nd round draft pick, a 2025 2nd round draft pick and a 2026 2nd round draft pick to the Los Angeles Clippers",Luke Kennard,As,no,no
2020,11/19/2020," As part of a 3-team trade, traded by the Detroit Pistons to the Brooklyn Nets",Bruce Brown,As,no,no
2020,11/19/2020, Traded by the New Orleans Pelicans to the Utah Jazz for cash and a 2022 2nd round draft pick. 2022 2nd-rd pick is UTA's own,Elijah Hughes,Traded,no,no
2020,11/19/2020, Traded by the Memphis Grizzlies with a 2022 2nd round draft pick to the Sacramento Kings for Xavier Tillman Sr..,Robert Woodard II,Traded,no,no
2020,11/19/2020, Signed a two-way contract with the Dallas Mavericks,Nate Hinton,Signed,Dallas Mavericks,Dallas Mavericks
2020,11/19/2020, Signed a two-way contract with the Utah Jazz,Trent Forrest,Signed,Utah Jazz,Utah Jazz
2020,11/19/2020, Signed a two-way contract with the Cleveland Cavaliers,Lamar Stevens,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2020,11/19/2020, Traded by the Sacramento Kings to the Memphis Grizzlies for Robert Woodard and a 2022 2nd round draft pick.,Xavier Tillman Sr.,Traded,no,no
2020,11/19/2020," Traded by the Oklahoma City Thunder with a 2024 2nd round draft pick to the Washington Wizards for Vit Krejci and Admiral Schofield. 2024 2nd-rd pick is MEM own, Washington also received a trade exception from Oklahoma City.",Cassius Winston,Traded,no,no
2020,11/19/2020," Traded by the Washington Wizards with Vit Krejci to the Oklahoma City Thunder for Cassius Winston and a 2024 2nd round draft pick. 2024 2nd-rd pick is MEM own, Washington also received a trade exception from Oklahoma City.",Admiral Schofield,Traded,no,no
2020,11/19/2020, Signed a two-way contract with the Memphis Grizzlies,Killian Tillie,Signed,Memphis Grizzlies,Memphis Grizzlies
2020,11/19/2020, Waived by the Los Angeles Lakers.,Quinn Cook,Waived,no,no
2020,11/19/2020, Signed a two-way contract with the Chicago Bulls,Devon Dotson,Signed,Chicago Bulls,Chicago Bulls
2020,11/19/2020, Signed a two-way contract with the Houston Rockets,Mason Jones,Signed,Houston Rockets,Houston Rockets
2021,11/19/2021, Suspended by the league. (25-game suspension),Didi Louzada,Suspended,no,no
2010,11/2/2010, Signed a multi-year contract with the Memphis Grizzlies,Mike Conley,Signed,Memphis Grizzlies,Memphis Grizzlies
2015,11/2/2015, Signed a contract extension with the Charlotte Hornets,Jeremy Lamb,Signed,Charlotte Hornets,Charlotte Hornets
2015,11/2/2015, Signed a contract extension with the Toronto Raptors,Terrence Ross,Signed,Toronto Raptors,Toronto Raptors
2017,11/2/2017, Recalled from the Austin Spurs of the G-League.,Tony Parker,Recalled,no,no
2017,11/2/2017, Assigned to the of the G-League.,Ben McLemore,Assigned,no,no
2017,11/2/2017, Assigned to the Agua Caliente Clippers of the G-League.,Jawun Evans,Assigned,no,no
2021,11/2/2021, Assigned to the Agua Caliente Clippers of the G-League.,Serge Ibaka,Assigned,no,no
2021,11/2/2021, Assigned to the Agua Caliente Clippers of the G-League.,Marcus Morris,Assigned,no,no
2021,11/2/2021, Recalled from the Agua Caliente Clippers of the G-League.,Serge Ibaka,Recalled,no,no
2007,11/20/2007, Assigned to the Anaheim Arsenal of the G-League.,Marcin Gortat,Assigned,no,no
2007,11/20/2007, Traded by the Orlando Magic to the Los Angeles Lakers for Brian Cook and Maurice Evans.,Trevor Ariza,Traded,no,no
2010,11/20/2010," Traded by the New Orleans Hornets with Peja Stojaković to the Toronto Raptors for David Andersen, Marcus Banks and Jarrett Jack.",Jerryd Bayless,Traded,no,no
2010,11/20/2010, Traded by the Toronto Raptors with David Andersen and Marcus Banks to the New Orleans Hornets for Jerryd Bayless and Peja Stojaković.,Jarrett Jack,Traded,no,no
2013,11/20/2013, Recalled from the of the G-League.,Dewayne Dedmon,Recalled,no,no
2013,11/20/2013, Signed as a free agent with the Philadelphia 76ers.,Lorenzo Brown,Signed,Philadelphia 76ers.,Philadelphia 76ers
2014,11/20/2014, Waived by the Memphis Grizzlies.,Hassan Whiteside,Waived,no,no
2014,11/20/2014, Waived by the Memphis Grizzlies.,Kalin Lucas,Waived,no,no
2018,11/20/2018, Signed a two-way contract with the San Antonio Spurs,Ben Moore,Signed,San Antonio Spurs,San Antonio Spurs
2019,11/20/2019, Assigned to the of the G-League.,Jarred Vanderbilt,Assigned,no,no
2019,11/20/2019, Waived by the Portland Trail Blazers.,Pau Gasol,Waived,no,no
2020,11/20/2020, Signed a two-way contract with the Dallas Mavericks,Tyler Bey,Signed,Dallas Mavericks,Dallas Mavericks
2020,11/20/2020, Traded by the New York Knicks (as a future 2020 1st round draft pick) with a 2020 2nd round draft pick (Saben Lee was later selected) to the Utah Jazz for Ante Tomic and a 2020 1st round draft pick (Leandro Bolmaro was later selected).,Udoka Azubuike,Traded,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the New York Knicks (as a future 2020 1st round draft pick) to the Minnesota Timberwolves",Leandro Bolmaro,As,no,no
2020,11/20/2020, Waived by the Golden State Warriors.,Ky Bowman,Waived,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Oklahoma City Thunder with Ricky Rubio to the Minnesota Timberwolves",Jaden McDaniels,As,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Portland Trail Blazers to the Memphis Grizzlies",Mario Hezonja,As,no,no
2020,11/20/2020, Waived by the Philadelphia 76ers.,Marial Shayok,Waived,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Boston Celtics to the Portland Trail Blazers",Enes Freedom,As,no,no
2020,11/20/2020, Traded by the Detroit Pistons with Tony Snell to the Atlanta Hawks for Dewayne Dedmon.,Khyri Thomas,Traded,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Oklahoma City Thunder with Jaden McDaniels to the Minnesota Timberwolves",Ricky Rubio,As,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Boston Celtics to the Memphis Grizzlies",Desmond Bane,As,no,no
2020,11/20/2020, Traded by the Detroit Pistons with Khyri Thomas to the Atlanta Hawks for Dewayne Dedmon.,Tony Snell,Traded,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Minnesota Timberwolves with Aleksej Pokusevski and a 2024 2nd round draft pick to the Oklahoma City Thunder",James Johnson,As,no,no
2020,11/20/2020, Traded by the Atlanta Hawks to the Detroit Pistons for Tony Snell and Khyri Thomas.,Dewayne Dedmon,Traded,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Minnesota Timberwolves with James Johnson and a 2024 2nd round draft pick to the Oklahoma City Thunder",Aleksej Pokusevski,As,no,no
2020,11/20/2020, Traded by the New York Knicks (as a future 2020 2nd round draft pick) with a 2020 1st round draft pick (Udoka Azubuike was later selected) to the Utah Jazz for Ante Tomic and a 2020 1st round draft pick (Leandro Bolmaro was later selected).,Saben Lee,Traded,no,no
2020,11/20/2020," As part of a 3-team trade, traded by the Oklahoma City Thunder to the New York Knicks",Immanuel Quickley,As,no,no
2008,11/21/2008, Traded by the New York Knicks to the Golden State Warriors for Al Harrington.,Jamal Crawford,Traded,no,no
2008,11/21/2008, Traded by the New York Knicks with Mardy Collins to the Los Angeles Clippers for Cuttino Mobley and Tim Thomas.,Zach Randolph,Traded,no,no
2014,11/21/2014, Assigned to the Delaware Blue Coats of the G-League.,JaKarr Sampson,Assigned,no,no
2016,11/21/2016, Signed a multi-year contract with the New Orleans Pelicans,Anthony Brown,Signed,New Orleans Pelicans,New Orleans Pelicans
2016,11/21/2016, Recalled from the Delaware Blue Coats of the G-League.,Danuel House Jr.,Recalled,no,no
2019,11/21/2019, Waived by the Utah Jazz.,Stanton Kidd,Waived,no,no
2019,11/21/2019, Signed a multi-year contract with the Utah Jazz,Juwan Morgan,Signed,Utah Jazz,Utah Jazz
2020,11/21/2020, Signed a multi-year contract with the Portland Trail Blazers,Carmelo Anthony,Signed,Portland Trail Blazers,Portland Trail Blazers
2020,11/21/2020, Signed as a free agent with the Washington Wizards.,Raul Neto,Signed,Washington Wizards.,Washington Wizards
2020,11/21/2020, Signed a multi-year contract with the Orlando Magic,Cole Anthony,Signed,Orlando Magic,Orlando Magic
2020,11/21/2020, Signed a multi-year contract with the Cleveland Cavaliers,Isaac Okoro,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2020,11/21/2020, Signed as a free agent with the Philadelphia 76ers.,Dwight Howard,Signed,Philadelphia 76ers.,Philadelphia 76ers
2020,11/21/2020, Signed a two-way contract with the Washington Wizards,Garrison Mathews,Signed,Washington Wizards,Washington Wizards
2020,11/21/2020, Signed a contract with the Chicago Bulls,Denzel Valentine,Signed,Chicago Bulls,Chicago Bulls
2020,11/21/2020, Signed a multi-year contract with the Chicago Bulls,Patrick Williams,Signed,Chicago Bulls,Chicago Bulls
2020,11/21/2020, Signed a two-way contract with the Miami Heat,Gabe Vincent,Signed,Miami Heat,Miami Heat
2021,11/21/2021, Recalled from the Agua Caliente Clippers of the G-League.,Serge Ibaka,Recalled,no,no
2010,11/22/2010, Assigned to the Erie BayHawks of the G-League.,Ed Davis,Assigned,no,no
2020,11/22/2020, Signed a multi-year contract with the Los Angeles Lakers,Kentavious Caldwell-Pope,Signed,Los Angeles Lakers,Los Angeles Lakers
2020,11/22/2020, Signed as a free agent with the New York Knicks.,Alec Burks,Signed,New York Knicks.,New York Knicks
2020,11/22/2020, Waived by the Denver Nuggets.,Keita Bates-Diop,Waived,no,no
2020,11/22/2020, Signed a multi-year contract with the Memphis Grizzlies,John Konchar,Signed,Memphis Grizzlies,Memphis Grizzlies
2020,11/22/2020, Signed a multi-year contract with the Indiana Pacers,Justin Holiday,Signed,Indiana Pacers,Indiana Pacers
2020,11/22/2020, Signed a multi-year contract with the Portland Trail Blazers,Rodney Hood,Signed,Portland Trail Blazers,Portland Trail Blazers
2020,11/22/2020, Signed a two-way contract with the Chicago Bulls,Adam Mokoka,Signed,Chicago Bulls,Chicago Bulls
2020,11/22/2020, Signed a multi-year contract with the Memphis Grizzlies,Jontay Porter,Signed,Memphis Grizzlies,Memphis Grizzlies
2020,11/22/2020, Signed a multi-year contract with the Miami Heat,Meyers Leonard,Signed,Miami Heat,Miami Heat
2020,11/22/2020, Waived by the Atlanta Hawks.,Khyri Thomas,Waived,no,no
2020,11/22/2020, Signed as a free agent with the Washington Wizards. Signed 1-yr/$7.3M contract 11/22/20,Robin Lopez,Signed,Washington Wizards. Signed 1-y,Washington Wizards Signed 1-y
2020,11/22/2020, Signed a contract with the Denver Nuggets,Jerami Grant,Signed,Denver Nuggets,Denver Nuggets
2020,11/22/2020, Traded by the Portland Trail Blazers with Trevor Ariza and a 2021 1st round draft pick (Usman Garuba was later selected) to the Houston Rockets for Robert Covington. Portland also received a trade exception. 2021 1rst-rd pick is lottery protected,Isaiah Stewart,Traded,no,no
2020,11/22/2020, Traded by the Denver Nuggets with Nikola Radičević to the Detroit Pistons for cash. Denver also received a trade exception.,Jerami Grant,Traded,no,no
2020,11/22/2020, Signed as a free agent with the Portland Trail Blazers.,Derrick Jones Jr.,Signed,Portland Trail Blazers.,Portland Trail Blazers
2020,11/22/2020, Traded by the Utah Jazz with a 2023 2nd round draft pick and a 2023 2nd round draft pick to the New York Knicks. 2023 2nd-rd pick is UTA own,Ed Davis,Traded,no,no
2020,11/22/2020, Signed a multi-year contract with the Portland Trail Blazers,CJ Elleby,Signed,Portland Trail Blazers,Portland Trail Blazers
